0.06,111,9.58,0.12,1,0
0.11,113,9.07,0.13,1,0
0.13,114,9.47,0.22,1,0
0.15,113,9.43,0.27,1,0
0.19,113,9.12,0.14,1,0
0.22,116,8.70,0.16,2,0
0.24,115,9.01,0.21,2,0
0.26,117,10.22,0.32,2,0
0.30,117,8.99,0.26,2,0
0.32,117,8.91,0.16,2,0
0.34,118,9.04,0.13,2,0
0.37,120,10.49,0.23,2,0
0.40,120,8.79,0.18,2,0
0.43,120,9.10,0.30,2,0
0.45,121,9.32,0.21,3,0
0.50,124,8.68,0.07,3,0
0.52,122,9.85,0.06,3,0
0.54,119,10.38,0.24,3,0
0.56,121,8.25,0.38,0,0
0.61,119,10.10,0.46,1,0
0.63,118,9.45,0.33,1,0
0.65,114,9.67,0.32,1,0
0.67,116,9.22,0.41,1,0
0.71,117,9.73,0.36,1,0
0.73,119,10.30,0.27,2,0
0.75,121,8.82,0.17,3,0
0.77,124,8.06,0.05,3,0
0.81,124,10.85,0.22,3,0
0.84,124,8.75,0.30,3,0
0.86,119,8.78,0.25,1,0
0.91,114,9.15,0.57,1,0
0.94,112,9.96,0.99,1,0
0.96,99,11.35,1.44,1,0
1.01,48,11.92,2.11,2,0
1.04,41,14.40,2.21,2,0
1.06,36,14.49,2.65,2,0
1.12,41,9.25,2.52,2,0
1.14,40,7.09,2.76,2,0
1.16,43,9.09,3.22,2,0
1.18,45,11.43,2.85,2,0
1.22,47,10.66,2.74,2,0
1.24,34,10.81,3.08,2,0
1.26,27,11.21,3.55,2,0
1.28,26,11.64,3.67,2,0
1.32,28,12.11,3.03,2,0
1.34,25,11.03,2.56,2,0
1.36,27,10.19,2.11,2,0
1.38,23,9.00,1.76,2,0
1.42,20,8.43,0.83,2,0
1.44,19,8.82,0.57,2,0
1.47,23,8.14,0.66,2,0
1.49,17,8.22,0.91,2,0
1.53,43,9.03,1.19,2,0
1.55,83,10.64,1.25,2,0
1.57,105,12.50,0.85,2,0
1.59,116,14.33,1.11,2,0
1.63,137,10.85,1.85,3,0
1.65,142,11.07,1.63,3,0
1.67,143,10.91,1.60,3,0
1.69,145,10.72,1.33,3,0
1.73,150,10.33,0.87,0,1
1.75,152,10.04,0.87,0,1
1.77,154,9.11,0.72,0,1
1.79,154,9.48,0.66,0,1
1.84,146,9.30,0.59,0,1
1.86,148,8.77,0.71,0,1
1.88,141,9.09,0.72,0,1
1.93,138,9.80,0.53,0,1
1.96,136,9.04,0.62,0,1
1.98,127,9.23,0.76,0,1
2.04,114,9.39,0.73,1,1
2.06,111,9.84,0.87,1,1
2.08,103,9.95,0.99,1,1
2.14,75,9.73,1.33,1,1
2.16,53,10.10,1.56,1,1
2.18,38,10.47,1.79,1,1
2.24,33,12.33,2.12,2,1
2.26,32,13.45,2.32,2,1
2.28,33,13.81,2.56,2,1
2.30,32,14.20,2.73,2,1
2.35,22,14.46,3.43,2,1
2.37,17,15.83,4.13,2,1
2.39,16,15.84,4.44,2,1
2.44,16,8.01,2.09,2,1
2.47,25,4.68,1.00,2,1
2.49,33,3.69,1.64,2,1
2.55,40,2.10,3.39,2,1
2.57,42,4.50,4.14,2,1
2.59,34,6.80,4.59,2,1
2.65,17,12.47,5.42,2,1
2.67,15,14.24,5.60,2,1
2.69,15,14.01,5.20,2,1
2.75,13,15.24,4.50,2,1
2.77,16,16.68,3.73,2,1
2.79,17,17.66,2.95,2,1
2.81,16,17.72,2.45,2,1
2.86,44,11.66,1.38,2,1
2.88,80,14.98,2.38,2,1
2.90,106,14.66,2.78,2,1
2.95,126,13.08,3.13,3,1
2.98,127,14.38,2.01,3,1
3.00,134,10.77,2.30,3,1
3.06,137,9.41,0.87,0,2
3.08,132,9.90,0.76,0,2
3.10,125,9.97,0.94,0,2
3.12,117,9.44,1.01,1,2
3.16,104,9.24,0.63,1,2
3.18,99,9.88,0.67,1,2
3.20,85,9.26,0.77,1,2
3.26,61,9.36,0.94,1,2
3.28,57,9.53,1.00,2,2
3.30,40,9.55,1.07,2,2
3.36,35,10.09,1.33,2,2
3.38,32,10.55,1.50,2,2
3.40,29,10.72,1.76,2,2
3.42,21,11.30,1.85,2,2
3.46,23,12.07,2.45,2,2
3.48,23,11.67,2.59,2,2
3.51,21,12.19,2.79,2,2
3.56,17,15.14,3.67,2,2
3.58,17,16.64,3.92,2,2
3.60,14,16.85,4.16,2,2
3.62,14,14.51,4.03,2,2
3.66,13,9.89,1.98,2,2
3.69,17,5.91,0.59,2,2
3.71,23,4.14,1.68,2,2
3.76,26,1.49,3.03,2,2
3.79,28,4.44,4.33,2,2
3.81,26,6.21,5.05,2,2
3.87,17,10.55,5.64,2,2
3.89,18,13.10,6.12,2,2
3.91,16,15.52,6.00,2,2
3.97,23,20.97,4.91,2,2
3.99,25,20.25,3.80,2,2
4.01,32,19.06,2.49,2,2
4.07,101,15.27,1.30,2,2
4.09,116,16.94,3.30,2,2
4.11,133,14.32,4.02,3,2
4.17,142,11.40,2.38,3,2
4.19,142,7.70,2.02,3,2
4.21,144,7.67,0.76,0,3
4.27,137,9.91,0.96,0,3
4.29,127,9.09,0.84,0,3
4.31,121,9.15,0.66,0,3
4.37,109,9.51,0.68,1,3
4.39,103,9.42,0.73,1,3
4.41,100,9.00,0.78,1,3
4.47,86,9.44,0.92,1,3
4.49,72,9.02,1.01,1,3
4.51,67,10.05,1.28,1,3
4.54,45,9.92,1.62,2,3
4.58,34,10.99,2.29,2,3
4.60,34,12.25,2.49,2,3
4.63,33,12.80,2.70,2,3
4.68,23,13.67,3.38,2,3
4.70,23,12.94,3.32,2,3
4.72,20,12.60,3.17,2,3
4.78,18,16.89,4.02,2,3
4.80,14,14.22,3.19,2,3
4.82,14,9.67,2.31,2,3
4.88,24,4.80,1.99,2,3
4.90,24,1.97,2.38,2,3
4.92,29,2.51,2.93,2,3
4.98,24,7.46,4.25,2,3
5.00,24,7.93,4.55,2,3
5.02,18,8.70,4.93,2,3
5.08,17,11.03,5.89,2,3
5.10,16,15.09,5.54,2,3
5.12,16,18.09,4.90,2,3
5.18,18,17.54,3.66,2,3
5.21,28,14.91,2.94,2,3
5.23,66,16.90,1.79,2,3
5.29,119,15.25,3.83,2,3
5.31,135,17.41,2.75,3,3
5.33,135,16.61,2.40,3,3
5.39,138,7.41,1.17,3,3
5.41,141,9.78,0.54,0,4
5.43,140,9.90,0.80,0,4
5.49,121,9.47,0.72,0,4
5.51,113,8.97,0.70,1,4
5.53,108,9.04,0.73,1,4
5.59,94,9.58,0.75,1,4
5.61,84,9.38,0.83,1,4
5.63,78,9.07,0.85,1,4
5.69,35,9.77,1.41,2,4
5.71,34,9.41,1.64,2,4
5.74,34,10.13,1.93,2,4
5.79,23,12.93,2.22,2,4
5.81,23,12.99,2.25,2,4
5.83,21,12.88,2.91,2,4
5.85,21,12.76,2.97,2,4
5.90,20,14.51,3.20,2,4
5.92,15,16.15,3.80,2,4
5.94,9,16.83,4.43,2,4
6.00,16,10.55,2.75,2,4
6.02,19,7.59,1.56,2,4
6.04,21,5.00,1.17,2,4
6.10,30,3.43,3.25,2,4
6.12,26,4.47,4.07,2,4
6.14,24,6.42,4.71,2,4
6.20,12,8.03,5.43,2,4
6.22,12,12.81,5.54,2,4
6.24,13,16.53,5.70,2,4
6.30,14,19.09,5.21,2,4
6.32,17,19.62,4.46,2,4
